Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,11,11,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),12,1491,1658,6.8,7.2
Personal,Visitors,Trip Start,11,11,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),1,883,883,7.5,7.5
Personal,Visitors,Trip Start,11,11,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),2,1522,1611,5.5,5.5
Personal,Visitors,Trip Start,11,11,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),4,1592,1735,10.4,10.1
Personal,Visitors,Trip Start,11,11,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),3,1688,1706,6.7,6.8
Personal,Visitors,Trip Start,11,11,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),3,1247,1659,3.0,4.4
Personal,Visitors,Trip Start,11,11,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),9,1577,1582,8.1,8.1
Personal,Visitors,Trip Start,11,11,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,930,930,6.5,6.5
Personal,Visitors,Trip Start,11,11,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2,1928,1928,12.0,12.0
Personal,Visitors,Trip Start,11,11,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),4,1318,1312,4.5,4.4
Personal,Visitors,Trip Start,11,11,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),3,1875,1874,10.6,10.5
Personal,Visitors,Trip Start,12,12,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),74,1914,2005,9.0,9.4
Personal,Visitors,Trip Start,12,12,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,2059,2059,11.0,11.0
Personal,Visitors,Trip Start,12,12,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),3,1767,2017,7.4,7.9
Personal,Visitors,Trip Start,12,12,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),19,1914,2005,9.1,9.8
Personal,Visitors,Trip Start,12,12,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),28,1996,2036,9.2,9.3
Personal,Visitors,Trip Start,12,12,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),24,1824,1969,8.7,9.3
Personal,Visitors,Trip Start,12,12,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),67,1865,1946,8.2,8.5
Personal,Visitors,Trip Start,12,12,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),0,2131,2131,14.3,14.3
