Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3340,1838,1892,6.5,6.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),87,2093,2198,8.1,8.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1487,1865,1918,6.4,6.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1384,1836,1890,6.5,6.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),378,1676,1718,6.4,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3552,1883,1924,6.9,7.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),90,1938,2001,7.0,7.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2071,1904,1948,6.9,7.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,105,105,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1373,1849,1883,6.7,6.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3821,1861,1925,6.4,6.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),80,2275,2360,9.2,9.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1781,1879,1949,6.2,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1591,1848,1903,6.3,6.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),359,1714,1789,6.6,7.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3647,1847,1916,6.4,6.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),77,2232,2276,8.7,8.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1589,1870,1952,6.3,6.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1518,1841,1897,6.3,6.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),453,1707,1781,6.5,6.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3906,1865,1922,6.4,6.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),90,2292,2345,9.0,9.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2144,1872,1929,6.1,6.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1607,1833,1883,6.3,6.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,106,106,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),57,1770,1959,9.6,10.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1576,2041,2080,10.7,10.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),106,2149,2194,12.5,12.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),706,2053,2092,10.3,10.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),613,2027,2069,10.7,10.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),147,1910,1936,10.1,10.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1445,2019,2060,10.6,10.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),115,2109,2159,11.7,12.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),612,2047,2084,10.4,10.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),566,2003,2049,10.5,10.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),149,1843,1882,9.7,9.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1735,2033,2068,10.6,10.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),79,2199,2226,13.1,13.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),876,2014,2057,9.8,10.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),666,2032,2060,11.1,11.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,107,107,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),111,2029,2044,11.8,11.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2879,1935,1979,10.5,10.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),63,2146,2245,12.9,13.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1403,1966,2019,10.4,10.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1190,1930,1965,10.6,10.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),221,1710,1731,9.8,9.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2702,1919,1967,10.3,10.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),63,2131,2250,12.5,13.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1217,1960,2019,10.4,10.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1145,1915,1953,10.3,10.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),275,1708,1732,9.4,9.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2987,1925,1969,10.3,10.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),63,2161,2224,12.1,12.6
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1724,1931,1981,9.9,10.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1163,1920,1952,10.8,10.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,108,108,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),36,1516,1568,12.3,12.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,11,011,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),31,1480,1499,9.4,9.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,11,011,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),16,1590,1594,10.8,10.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,11,011,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),10,1391,1444,8.2,8.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,11,011,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),25,1363,1394,7.6,7.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,11,011,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),41,1466,1482,10.6,10.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),44,1416,1483,7.6,7.9
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),12,1608,1692,8.2,8.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),17,1342,1415,7.5,7.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),11,1257,1300,6.6,6.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),42,1339,1410,7.2,7.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),18,1251,1353,6.1,6.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,12,012,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),46,1469,1550,8.2,8.4
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),374,1314,1349,6.8,7.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),37,1520,1580,9.9,10.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),128,1393,1436,7.7,8.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),143,1270,1296,6.0,6.2
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),66,1134,1159,5.1,5.3
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),352,1321,1351,6.9,7.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),32,1452,1545,8.4,8.8
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),113,1478,1516,8.9,9.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),144,1281,1293,6.0,6.1
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),63,1069,1093,4.4,4.5
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),389,1252,1304,6.3,6.7
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),40,1452,1508,8.6,9.0
All Vehicles - StL All Vehicles Volume,Visitors,Trip Start,14,014,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),149,1249,1300,6.3,6.7
