Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),14,1361,1352,4.2,4.2
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),129,1481,1502,2.7,2.8
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),209,1477,1526,2.8,3.0
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),202,1311,1391,2.2,2.5
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),130,1530,1600,3.3,3.6
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),2,1279,1279,5.0,5.0
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,1583,1583,1.7,1.7
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),44,1665,1709,4.7,4.9
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),47,1504,1613,2.5,3.0
Personal,Visitors,Trip Start,2,Brigham Young University - Harold B. Lee Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),35,1411,1467,2.6,2.8
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4,1615,1696,3.1,3.2
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,1133,1133,1.6,1.6
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),2,1955,1955,4.8,4.8
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1,1430,1747,2.1,2.5
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),1,1355,1355,1.7,1.7
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),5,1445,1445,2.8,2.8
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),0,1133,1133,1.6,1.6
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),2,1746,1746,4.3,4.3
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1,1082,1082,1.2,1.2
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),2,1278,1278,1.8,1.8
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2,1976,1976,4.6,4.6
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1,2792,2792,6.7,6.7
Personal,Visitors,Trip Start,3,Brigham Young University - Hunter Law Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1,346,346,0.5,0.5
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),18,1546,1562,8.0,7.9
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),1,1435,1508,5.0,4.8
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),8,1535,1535,7.3,7.3
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),7,1446,1481,7.6,7.7
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),2,2045,2045,14.2,14.2
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),25,1576,1595,8.8,8.7
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),2,1400,1490,4.2,4.1
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),11,1511,1511,7.8,7.8
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),10,1595,1629,9.1,9.1
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),3,1895,1895,14.7,14.7
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),6,1467,1467,4.2,4.2
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2,1768,1768,5.6,5.6
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,940,940,2.1,2.1
Personal,Visitors,Trip Start,4,Eagle Mountain Public Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),1,2368,2368,7.2,7.2
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),19,1490,1590,7.3,7.6
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,395,395,2.3,2.3
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),0,1017,1017,2.2,2.2
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),8,1353,1584,5.6,6.5
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),6,1846,1846,9.0,9.0
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),4,1368,1368,8.7,8.7
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),24,1553,1683,8.0,8.4
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),0,395,395,2.3,2.3
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),1,905,905,1.7,1.7
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),9,1459,1820,7.0,8.3
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),8,1886,1886,8.9,8.9
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),6,1359,1359,8.9,8.9
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),8,1039,1039,3.5,3.5
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),6,1070,1070,3.6,3.6
Personal,Visitors,Trip Start,5,Highland City Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1,871,871,2.9,2.9
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),69,1417,1469,5.0,5.3
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),5,1575,1673,4.0,4.4
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),32,1476,1555,6.4,6.8
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),24,1360,1381,4.0,4.0
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),8,1280,1285,3.9,4.0
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),93,1381,1430,4.4,4.5
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),8,1600,1701,4.1,4.6
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),40,1377,1452,4.9,5.1
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),31,1412,1432,4.1,4.1
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),13,1200,1207,3.8,3.9
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),24,1417,1557,5.4,7.0
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),1,924,924,1.2,1.2
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),12,1531,1759,5.9,8.9
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),9,1232,1287,5.2,5.4
Personal,Visitors,Trip Start,6,Lehi City Public Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),2,1811,1811,4.3,4.3
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),103,1643,1753,4.5,4.8
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),4,1862,1961,6.1,6.4
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),40,1718,1826,4.4,4.8
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),36,1611,1768,4.2,4.7
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),23,1525,1559,4.6,4.6
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),123,1657,1804,4.6,5.0
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),6,1959,2067,7.6,7.7
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),49,1859,1988,5.0,5.5
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),38,1480,1732,3.5,4.3
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),30,1497,1543,4.7,4.7
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),57,1523,1579,3.9,4.1
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),3,1573,1573,1.5,1.5
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),26,1385,1470,2.8,2.9
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),25,1747,1788,5.5,5.8
Personal,Visitors,Trip Start,7,Orem Public Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),3,846,846,2.7,2.7
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),26,1159,1333,2.6,3.7
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,275,275,0.4,0.4
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),1,1046,2905,2.3,20.8
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),10,1007,1079,2.1,2.7
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),10,1410,1531,3.1,3.4
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),4,1000,1175,2.5,3.2
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),33,1104,1264,2.7,3.8
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),2,1046,2905,2.3,20.8
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),11,893,893,1.9,1.9
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),15,1290,1340,3.4,3.4
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),5,1053,1282,2.6,3.4
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),11,1577,1613,2.0,3.7
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),9,1046,1142,2.1,4.0
Personal,Visitors,Trip Start,8,Payson City Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),2,3969,3969,1.9,1.9
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),19,1214,1286,3.3,3.6
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),0,680,680,2.7,2.7
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),7,1368,1437,3.4,3.9
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),6,1110,1254,2.8,3.2
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),5,1151,1151,3.8,3.8
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),23,1270,1327,3.2,3.4
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),0,680,680,2.7,2.7
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),9,1489,1489,3.6,3.6
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),7,1227,1430,3.0,3.7
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),7,1060,1060,2.8,2.8
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),10,1012,1154,2.0,2.6
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),4,987,1389,1.2,3.1
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),5,985,985,2.5,2.5
Personal,Visitors,Trip Start,9,Pleasant Grove Public Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),1,1159,1159,2.0,2.0
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),68,1490,1504,5.2,5.3
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),3,1387,1387,6.2,6.2
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),27,1615,1647,5.7,5.8
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),32,1421,1421,5.0,5.0
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),5,1341,1341,3.5,3.5
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),90,1414,1433,4.6,4.7
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),6,1387,1387,6.2,6.2
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),29,1461,1519,4.3,4.5
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),47,1405,1405,4.8,4.8
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),8,1321,1321,3.4,3.4
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),29,1847,1847,7.1,7.1
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),20,2017,2017,8.2,8.2
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),8,1478,1478,5.0,5.0
Personal,Visitors,Trip End,1,American Fork Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),2,1551,1551,4.2,4.2
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),499,1559,1609,5.7,5.8
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),3,1191,1567,2.5,3.7
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),49,1614,1695,7.6,7.9
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),174,1536,1585,5.0,5.2
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),189,1618,1656,5.9,6.1
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),85,1457,1505,5.4,5.6
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),593,1536,1589,5.3,5.5
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),3,1285,1859,2.1,3.9
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),67,1444,1537,5.3,5.7
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),204,1525,1576,5.0,5.2
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),226,1612,1646,5.7,5.7
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),92,1450,1504,5.1,5.4
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),286,1731,1753,7.5,7.6
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),3,1042,1042,3.2,3.2
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),22,2255,2280,16.2,15.9
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),108,1772,1789,6.3,6.4
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),100,1707,1735,7.5,7.7
Personal,Visitors,Trip End,10,Provo City Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),53,1515,1540,6.8,6.8
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),8,1263,1302,3.8,3.9
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),4,1287,1289,4.2,4.3
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),4,1285,1362,3.5,3.7
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),0,297,297,1.2,1.2
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),12,1225,1272,3.2,3.3
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),5,1217,1217,3.1,3.1
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),6,1283,1367,3.4,3.7
Personal,Visitors,Trip End,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),0,297,297,1.2,1.2
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),16,1446,1481,9.5,9.7
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),4,961,1043,2.3,2.7
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),3,2339,2339,25.4,25.4
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),8,1370,1422,7.4,7.9
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),2,968,968,1.3,1.3
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),21,1226,1261,5.0,5.4
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),4,1095,1095,3.0,3.0
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),4,1235,1235,5.5,5.5
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),10,1346,1414,6.6,7.3
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),3,968,968,1.3,1.3
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4,877,877,2.1,2.1
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),2,680,680,1.6,1.6
Personal,Visitors,Trip End,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,1008,1008,2.5,2.5
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),47,1514,1556,6.8,6.9
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),1,863,1652,3.2,5.3
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),5,1638,1638,8.0,8.0
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),19,1566,1581,7.5,7.7
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),16,1548,1566,6.5,6.5
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),5,1176,1304,3.8,4.4
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),59,1571,1598,7.3,7.3
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),1,1059,2835,3.7,8.4
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),4,1604,1604,8.5,8.5
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),24,1706,1692,8.5,8.3
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),24,1537,1559,7.0,7.1
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),7,1236,1239,3.7,3.7
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),14,1125,1125,3.0,3.0
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),1,1086,1086,3.2,3.2
Personal,Visitors,Trip End,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),7,1332,1332,2.6,2.6
