Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),2,1110,1110,5.4,5.4
Personal,Visitors,Trip Start,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),4,817,836,2.2,2.3
Personal,Visitors,Trip Start,11,Salem City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),1,606,606,1.2,1.2
Personal,Visitors,Trip Start,11,Salem City Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),4,1391,1391,2.6,2.6
Personal,Visitors,Trip Start,11,Salem City Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),3,1604,1604,3.0,3.0
Personal,Visitors,Trip Start,11,Salem City Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1,324,324,0.7,0.7
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),18,1260,1265,3.6,3.6
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),2,892,892,1.6,1.6
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),6,1296,1296,3.9,3.9
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),7,1286,1297,4.1,4.0
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),3,1421,1421,3.5,3.5
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),24,1341,1348,4.0,4.0
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),3,975,975,1.3,1.3
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),8,1460,1460,4.6,4.6
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),10,1352,1368,4.2,4.3
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),4,1317,1317,3.9,3.9
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),7,1161,1161,2.4,2.4
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),4,861,861,2.1,2.1
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1,1205,1205,5.2,5.2
Personal,Visitors,Trip Start,12,Santaquin City Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),2,1889,1889,1.7,1.7
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),35,1489,1551,5.9,6.2
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,1116,1116,4.4,4.4
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),3,1398,1561,7.5,7.9
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),14,1615,1698,7.2,7.5
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),12,1438,1455,5.0,4.9
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),5,1329,1387,4.1,4.4
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),46,1458,1511,5.9,6.1
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),1,1116,1116,4.4,4.4
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),4,1315,1534,7.2,7.8
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),17,1513,1586,7.2,7.7
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),18,1458,1478,5.2,5.1
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),7,1432,1432,4.2,4.2
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),10,943,1110,2.6,3.1
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),6,936,1019,2.6,2.7
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),3,1022,1022,2.8,2.8
Personal,Visitors,Trip Start,13,Saratoga Springs Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),1,611,1781,1.6,6.0
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),33,1296,1375,3.3,3.6
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),1,1858,1858,8.5,8.5
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),13,1339,1339,3.3,3.3
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),16,1269,1413,3.2,3.7
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),4,1170,1270,3.4,3.7
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),40,1359,1418,3.3,3.6
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),1,1858,1858,8.5,8.5
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),15,1417,1417,3.5,3.5
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),19,1301,1426,3.0,3.7
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),5,1287,1287,2.7,2.7
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),23,1212,1269,3.4,3.6
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),10,1199,1199,3.0,3.0
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),10,1288,1288,3.7,3.7
Personal,Visitors,Trip Start,14,Spanish Fork Public Library,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),3,998,1430,4.0,5.1
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),99,1369,1443,3.8,4.3
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),1,819,1703,1.8,3.2
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),31,1516,1625,4.1,5.1
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),44,1368,1421,3.6,3.8
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),23,1190,1225,3.8,4.3
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),131,1343,1419,3.8,4.4
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),1,819,819,1.8,1.8
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),34,1554,1690,4.6,6.1
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),60,1344,1408,3.3,3.5
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),36,1163,1204,3.9,4.4
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),35,1446,1446,3.8,3.8
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),24,1392,1392,3.1,3.1
Personal,Visitors,Trip Start,15,Springville Public Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),11,1569,1569,5.6,5.6
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),58,1866,1869,10.0,10.0
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),2,4071,4071,19.7,19.7
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),12,2167,2167,13.3,13.3
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),20,1630,1630,7.1,7.1
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),12,2020,2047,12.9,12.8
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),12,1468,1458,7.3,7.1
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),62,1876,1886,8.8,8.8
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),2,3028,3028,24.6,24.6
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),15,2403,2403,13.9,13.9
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),20,1601,1601,6.1,6.1
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),11,1955,2014,7.6,8.1
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),13,1473,1470,5.9,5.7
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),61,1955,1944,12.5,12.4
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),2,5809,5809,11.6,11.6
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),8,1537,1537,12.7,12.7
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),23,1692,1692,7.6,7.6
Personal,Visitors,Trip Start,17,Utah State Hospital Patient Library,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),17,2393,2393,21.5,21.5
